Country,Total Cases,Total Deaths,Total Recovered,Death Rate,Recovery Rate,Death Rate Tot,Recovery Rate Tot,Avg. Temp Feb 2020,
Singapore,106.00,,74.00,,100.00,,70.00,28.00,
Malaysia,29.00,,22.00,,100.00,,76.00,27.00,
Germany,130.00,,16.00,,100.00,,12.00,0.00,
Vietnam,16.00,,16.00,,100.00,,100.00,15.00,
U.K.,36.00,,8.00,,100.00,,22.00,4.00,
Macao,10.00,,6.00,,100.00,,60.00,17.00,
U.A.E.,21.00,,5.00,,100.00,,24.00,19.00,
Canada,24.00,,4.00,,100.00,,17.00,-1.00,
India,3.00,,3.00,,100.00,,100.00,28.00,
Spain,84.00,,2.00,,100.00,,2.00,15.00,
Russia,2.00,,2.00,,100.00,,100.00,-10.00,
Switzerland,24.00,,1.00,,100.00,,4.00,0.00,
Israel,10.00,,1.00,,100.00,,10.00,16.00,
Finland,6.00,,1.00,,100.00,,17.00,-7.00,
Oman,6.00,,1.00,,100.00,,17.00,23.00,
Romania,3.00,,1.00,,100.00,,33.00,2.00,
Belgium,2.00,,1.00,,100.00,,50.00,3.00,
Egypt,2.00,,1.00,,100.00,,50.00,15.00,
Cambodia,1.00,,1.00,,100.00,,100.00,27.00,
Nepal,1.00,,1.00,,100.00,,100.00,12.00,
Sri Lanka,1.00,,1.00,,100.00,,100.00,26.00,
Thailand,43.00,1.00,30.00,3.00,97.00,2.00,70.00,28.00,
Hong Kong,100.00,2.00,36.00,5.00,95.00,2.00,36.00,15.00,
China,80026.00,2912.00,44539.00,6.00,94.00,4.00,56.00,5.00,
Australia,29.00,1.00,15.00,6.00,94.00,3.00,52.00,20.00,
Taiwan,40.00,1.00,12.00,8.00,92.00,3.00,30.00,16.00,
France,130.00,2.00,12.00,14.00,86.00,2.00,9.00,4.00,
Japan,256.00,6.00,32.00,16.00,84.00,2.00,13.00,5.00,
USA,87.00,2.00,9.00,18.00,82.00,2.00,10.00,10.00,
Iran,978.00,54.00,175.00,24.00,76.00,6.00,18.00,1.00,
Italy,1694.00,34.00,83.00,29.00,71.00,2.00,5.00,5.00,
Philippines,3.00,1.00,2.00,33.00,67.00,33.00,67.00,26.00,
Diamond Princess,705.00,7.00,10.00,41.00,59.00,1.00,1.00,5.00,
S. Korea,4212.00,26.00,30.00,46.00,54.00,1.00,1.00,-2.00,
Bahrain,47.00,,,,,,,18.00,
Kuwait,46.00,,,,,,,15.00,
Iraq,19.00,,,,,,,5.00,
Norway,19.00,,,,,,,-3.00,
Austria,14.00,,,,,,,0.00,
Sweden,14.00,,,,,,,-3.00,
Lebanon,10.00,,,,,,,13.00,
Netherlands,10.00,,,,,,,4.00,
San Marino,8.00,1.00,,100.00,,13.00,,8.00,
Croatia,7.00,,,,,,,5.00,
Greece,7.00,,,,,,,8.00,
Ecuador,6.00,,,,,,,15.00,
Mexico,5.00,,,,,,,13.00,
Denmark,4.00,,,,,,,0.00,
Pakistan,4.00,,,,,,,13.00,
Algeria,3.00,,,,,,,13.00,
Azerbaijan,3.00,,,,,,,3.00,
Czechia,3.00,,,,,,,2.00,
Georgia,3.00,,,,,,,3.00,
Iceland,3.00,,,,,,,0.00,
Qatar,3.00,,,,,,,20.00,
Brazil,2.00,,,,,,,28.00,
Indonesia,2.00,,,,,,,27.00,
Afghanistan,1.00,,,,,,,0.00,
Armenia,1.00,,,,,,,0.00,
Belarus,1.00,,,,,,,-4.00,
Dominican Republic,1.00,,,,,,,24.00,
Estonia,1.00,,,,,,,-6.00,
Ireland,1.00,,,,,,,4.00,
Lithuania,1.00,,,,,,,5.00,
Luxembourg,1.00,,,,,,,2.00,
North Macedonia,1.00,,,,,,,4.00,
Monaco,1.00,,,,,,,12.00,
New Zealand,1.00,,,,,,,18.00,
Nigeria,1.00,,,,,,,26.00,
